19.05.06 13:01:30	 start:21.09.96 21:42:42	 pos:1144146009	 sent:892544032	 speed:2b/s	 host:220.238.184.59	 client:Unknown	 file:
19.05.06 13:01:58	 start:21.09.96 21:42:42	 pos:1144146009	 sent:892544032	 speed:2b/s	 host:86.87.176.196	 client:Unknown	 file:
19.05.06 13:02:58	 start:14.10.21 01:44:10	 pos:539828321	 sent:1229016801	 speed:--.-b/s	 host:86.87.176.196	 client:Unknown	 file:
19.05.06 13:03:01	 start:14.10.21 01:44:10	 pos:539828321	 sent:1229016801	 speed:--.-b/s	 host:220.238.184.59	 client:Unknown	 file:
19.05.06 13:05:54	 start:14.10.21 20:13:14	 pos:1852994816	 sent:-33762784	 speed:--.-b/s	 host:220.238.184.59	 client:Unknown	 file:
19.05.06 13:05:55	 start:17.04.06 10:47:28	 pos:1867784278	 sent:-672059401	 speed:4Gb/s	 host:165.146.27.123	 client:Unknown	 file:
19.05.06 13:06:26	 start:08.09.29 18:14:38	 pos:1969711474	 sent:-268630527	 speed:--.-b/s	 host:87.29.136.11	 client:Unknown	 file:
19.05.06 13:09:26	 start:13.07.25 23:08:52	 pos:1851859060	 sent:99745721	 speed:--.-b/s	 host:195.14.216.189	 client:Unknown	 file:
19.05.06 13:11:22	 start:13.07.25 23:08:52	 pos:1851859060	 sent:99745721	 speed:--.-b/s	 host:82.234.210.224	 client:Unknown	 file:
19.05.06 13:12:47	 start:31.03.70 20:54:31	 pos:779315054	 sent:-239399688	 speed:0b/s	 host:203.164.123.151	 client:Unknown	 file:
19.05.06 13:17:27	 start:13.03.28 22:29:52	 pos:1325426544	 sent:1623606364	 speed:--.-b/s	 host:87.29.136.11	 client:Unknown	 file:
19.05.06 13:19:59	 start:11.10.05 08:06:18	 pos:976314728	 sent:-431878915	 speed:4Gb/s	 host:84.82.54.116	 client:Unknown	 file:
19.05.06 13:20:03	 start:11.03.28 18:47:12	 pos:1735287138	 sent:-586998	 speed:--.-b/s	 host:203.164.123.151	 client:Unknown	 file:
19.05.06 13:22:25	 start:03.11.30 03:16:04	 pos:1918986272	 sent:-1374550459	 speed:--.-b/s	 host:165.146.27.123	 client:Unknown	 file:
19.05.06 13:26:13	 start:13.03.28 22:29:52	 pos:1325426544	 sent:1623606364	 speed:--.-b/s	 host:82.234.210.224	 client:Unknown	 file:
19.05.06 13:26:20	 start:13.03.28 22:29:52	 pos:1325426544	 sent:1623606364	 speed:--.-b/s	 host:88.106.62.133	 client:Unknown	 file:
19.05.06 13:29:52	 start:31.03.05 01:12:01	 pos:1144347189	 sent:-591040654	 speed:4Gb/s	 host:165.146.27.123	 client:Unknown	 file:
19.05.06 13:33:47	 start:24.02.12 08:54:46	 pos:1414288966	 sent:236656940	 speed:--.-b/s	 host:82.234.210.224	 client:Unknown	 file:
19.05.06 13:41:30	 start:31.12.17 21:28:01	 pos:1513244500	 sent:188799249	 speed:--.-b/s	 host:82.234.210.224	 client:Unknown	 file:
19.05.06 13:44:36	 start:13.09.12 05:43:22	 pos:843663667	 sent:-1232766561	 speed:--.-b/s	 host:86.52.143.203	 client:Unknown	 file:
19.05.06 13:45:20	 start:27.02.28 21:11:27	 pos:1814062440	 sent:-1814062441	 speed:--.-b/s	 host:86.52.143.203	 client:BearShare 5.2.3.15	 file:jorker.mp3
19.05.06 13:47:47	 start:27.02.28 21:11:27	 pos:1814062440	 sent:-1269623801	 speed:--.-b/s	 host:82.234.210.224	 client:Unknown	 file:
19.05.06 13:50:19	 start:30.08.27 15:40:47	 pos:1819045746	 sent:-3600	 speed:--.-b/s	 host:165.146.27.123	 client:Unknown	 file:
19.05.06 13:51:42	 start:23.11.98 13:08:46	 pos:1330137139	 sent:1987471778	 speed:8b/s	 host:58.0.93.87	 client:Unknown	 file:
19.05.06 13:55:02	 start:24.02.94 09:59:33	 pos:1717531499	 sent:118746113	 speed:0b/s	 host:81.4.136.167	 client:Unknown	 file:
19.05.06 13:56:16	 start:24.02.94 09:59:33	 pos:1717531499	 sent:118746113	 speed:0b/s	 host:82.234.210.224	 client:Unknown	 file:
19.05.06 14:03:07	 start:24.02.94 09:59:33	 pos:1717531499	 sent:118746113	 speed:0b/s	 host:82.234.210.224	 client:Unknown	 file:
19.05.06 14:05:09	 start:20.05.31 19:02:50	 pos:0	 sent:61959	 speed:--.-b/s	 host:60.231.221.16	 client:LimeWire	 file:Ringtones Klingeltöne Sounds Mp3/midi/Daddy Cool.mid
19.05.06 14:12:05	 start:16.09.12 06:23:16	 pos:1513239347	 sent:1937152237	 speed:--.-b/s	 host:165.146.27.123	 client:Unknown	 file:
19.05.06 14:14:48	 start:13.07.25 06:47:42	 pos:1920270454	 sent:-1141429002	 speed:--.-b/s	 host:82.157.54.174	 client:Unknown	 file:
19.05.06 14:26:13	 start:13.07.25 06:47:42	 pos:1920270454	 sent:-1141429002	 speed:--.-b/s	 host:219.95.18.137	 client:Unknown	 file:
19.05.06 14:26:33	 start:13.07.25 06:47:42	 pos:1920270454	 sent:-1920270455	 speed:--.-b/s	 host:219.95.18.137	 client:BearShare 5.2.1.6	 file:qi_you.mp3
19.05.06 14:27:37	 start:13.07.25 06:47:42	 pos:1920270454	 sent:-1141429002	 speed:--.-b/s	 host:83.184.118.14	 client:Unknown	 file:
19.05.06 14:30:06	 start:11.02.70 23:23:05	 pos:1446134609	 sent:1637396577	 speed:1b/s	 host:82.234.210.224	 client:Unknown	 file:
19.05.06 14:32:33	 start:13.07.25 06:47:42	 pos:1920270454	 sent:-1140970250	 speed:--.-b/s	 host:82.234.210.224	 client:Unknown	 file:
19.05.06 14:32:34	 start:13.07.25 06:47:42	 pos:1920270454	 sent:-1140970250	 speed:--.-b/s	 host:194.144.85.176	 client:Unknown	 file:
19.05.06 14:34:35	 start:24.03.87 10:17:20	 pos:1936029281	 sent:-16581356	 speed:0b/s	 host:194.144.85.176	 client:Unknown	 file:
19.05.06 14:42:34	 start:26.10.97 15:27:06	 pos:828467315	 sent:855886017	 speed:3b/s	 host:82.228.61.29	 client:Unknown	 file:
19.05.06 14:44:27	 start:09.06.04 01:50:15	 pos:-985176775	 sent:-1898395673	 speed:--.-b/s	 host:82.177.100.172	 client:Unknown	 file:
19.05.06 14:45:15	 start:12.03.14 14:55:58	 pos:1970231584	 sent:-101464244	 speed:--.-b/s	 host:82.234.210.224	 client:Unknown	 file:
